,titre,link,speech_type,prenom,nom,date,theme,fonct,unique_id
0,"Déclaration de M. Franck Riester, ministre de la culture, sur les projets de loi ordinaire et organique, relatif à la communication audiovisuelle et à la souveraineté culturelle à l’ère numérique, Paris le 26 février 2020.",https://www.vie-publique.fr/discours/273623-franck-riester-26022020-communication-audiovisuelle-loi,Déclaration,Franck,Riester,2020-02-26T12:00:00Z,SOCIÉTÉ,Ministre de la culture,273623
1,"Interview de M. Bruno Le Maire, ministre de l'économie et des finances, à Public Sénat le 26 février 2020, sur la réforme des retraites, l'impact économique de l'épidémie de coronavirus, le déficit public et la politique agricole.",https://www.vie-publique.fr/discours/273614-bruno-le-maire-26022020-politique-economique,Interview,Bruno,Le Maire,2020-02-26T12:00:00Z,ECONOMIE,Ministre de l'économie et des finances,273614
2,"Déclaration de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur le désarmement, à Genève le 24 février 2020.",https://www.vie-publique.fr/discours/273612-jean-yves-le-drian-24022020-desarmement,Déclaration,Jean-Yves,Le Drian,2020-02-24T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,273612
3,"Déclaration de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur la défense des droits de l'homme dans le monde, à Genève le 24 février 2020.",https://www.vie-publique.fr/discours/273609-jean-yves-le-drian-24022020-droits-de-lhomme,Déclaration,Jean-Yves,Le Drian,2020-02-24T12:00:00Z,INSTITUTIONS,Ministre de l'Europe et des affaires étrangères,273609
4,"Déclaration de M. Jean-Baptiste Lemoyne, secrétaire d'État auprès du ministre de l'Europe et des affaires étrangères, sur la nouvelle stratégie internationale de la France pour l'eau et l'assainissement, à Paris le 24 février 2020 .",https://www.vie-publique.fr/discours/273598-jean-baptiste-lemoyne-24022020-eau,Déclaration,Jean-Baptiste,Lemoyne,2020-02-24T12:00:00Z,SOCIÉTÉ,Secrétaire d'État auprès du ministre de l'Europe et des affaires étrangères,273598
5,"Interview de Mme Nicole Belloubet, garde des sceaux, ministre de la justice, à RTL le 24 février 2020, sur la construction de nouvelles prisons, la libération de détenus pour terrorisme et la grève des avocats contre la réforme des retraites.",https://www.vie-publique.fr/discours/273562-nicole-belloubet-24022020-politique-judiciaire,Interview,Nicole,Belloubet,2020-02-24T12:00:00Z,INSTITUTIONS,Ministre de la justice,273562
6,"Déclaration de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur le multilatéralisme, à Genève le 24 février 2020.",https://www.vie-publique.fr/discours/273611-jean-yves-le-drian-24022020-multilateralisme,Déclaration,Jean-Yves,Le Drian,2020-02-24T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,273611
7,"Entretien de M. Jean-Baptiste Lemoyne, secrétaire d'État auprès du ministre de l'Europe et des affaires étrangères, avec France 24 le 22 février 2020, sur l'Union européenne, les accords de libre échange et le Brexit.",https://www.vie-publique.fr/discours/273587-jean-baptiste-lemoyne-22022020-libre-echange,Entretien,Jean-Baptiste,Lemoyne,2020-02-22T12:00:00Z,INTERNATIONAL,Secrétaire d'État auprès du ministre de l'Europe et des affaires étrangères,273587
8,"Déclaration de M. Bruno Le Maire, ministre de l'économie et des finances, sur les conséquences économiques de l'épidémie de coronavirus, à Paris le 21 février 2020.",https://www.vie-publique.fr/discours/273586-bruno-le-maire-21022020-coronavirus,Déclaration,Bruno,Le Maire,2020-02-21T12:00:00Z,INTERNATIONAL,Ministre de l'économie et des finances,273586
9,"Déclaration de M. Bruno Le Maire, ministre de l'économie et des finances, sur le bilan de l'application des engagements de modération des tarifs d'incidents bancaires pris par les banques en 2018, à Paris le 21 février 2020.",https://www.vie-publique.fr/discours/273584-bruno-le-maire-21022020-tarifs-dincidents-bancaires,Déclaration,Bruno,Le Maire,2020-02-21T12:00:00Z,ECONOMIE,Ministre de l'économie et des finances,273584
10,"Déclaration à la presse de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur les relations entre la France et le Mozambique, à Maputo le 21 février 2020.",https://www.vie-publique.fr/discours/273582-jean-yves-le-drian-21022020-france-mozambique,Déclaration,Jean-Yves,Le Drian,2020-02-21T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,273582
11,"Interview de M. Julien Denormandie, ministre chargé de la ville et du logement, à BFMTV le 21 février 2020, sur la lutte contre les punaises de lit.",https://www.vie-publique.fr/discours/273553-julien-denormandie-21022020-punaises-de-lit,Interview,Julien,Denormandie,2020-02-21T12:00:00Z,SOCIÉTÉ,Ministre chargé de la ville et du logement Christophe Delay,273553
12,"Interview de M. Didier Guillaume, ministre de l'agriculture et de l'alimentation, à LCI le 21 février 2020, sur la politique agricole commune, le glyphosate et l'agriculture biologique.",https://www.vie-publique.fr/discours/273557-didier-guillaume-21022020-politique-agricole,Interview,Didier,Guillaume,2020-02-21T12:00:00Z,ECONOMIE,Ministre de l'agriculture et de l'alimentation Elisabeth Matichoux,273557
13,"Interview de M. Julien Denormandie, ministre chargé de la ville et du logement, à Europe 1 le 21 février 2020, sur la lutte contre les punaises de lit.",https://www.vie-publique.fr/discours/273552-julien-denormandie-21022020-punaises-de-lit,Interview,Julien,Denormandie,2020-02-21T12:00:00Z,SOCIÉTÉ,Ministre chargé de la ville et du logement,273552
14,"Déclaration à la presse de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur les relations franco-malgaches, à Tananarive le 20 février 2020.",https://www.vie-publique.fr/discours/273578-jean-yves-le-drian-20022020-france-madagascar,Déclaration,Jean-Yves,Le Drian,2020-02-20T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,273578
15,"Entretien de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, avec le quotidien mauricien ""L'Express"" du 20 février 2020, sur les relations entre la France et les pays de l'océan Indien.",https://www.vie-publique.fr/discours/273534-entretien-jean-yves-le-drian-20022020-france-pays-de-locean-indien,Entretien,Jean-Yves,Le Drian,2020-02-20T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,273534
16,"Déclaration de M. Didier Guillaume, ministre de l'agriculture et de l'alimentation, sur la politique agricole, au Sénat le 20 février 2020.",https://www.vie-publique.fr/discours/273608-didier-guillaume-20022020-politique-agricole,Déclaration,Didier,Guillaume,2020-02-20T12:00:00Z,ECONOMIE,Ministre de l'agriculture et de l'alimentation,273608
17,"Déclaration à la presse de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur l'aide française en faveur du développement de Madagascar, à Tananarive le 20 février 2020.",https://www.vie-publique.fr/discours/273581-jean-yves-le-drian-20022020-france-madagascar,Déclaration,Jean-Yves,Le Drian,2020-02-20T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,273581
18,"Interview de M. Franck Riester, ministre de la culture, à Radio Classique le 19 février 2020, sur la responsabilisation des plateformes en ligne dans la protection de la vie privée et la nécessité d'investir dans la création française.",https://www.vie-publique.fr/discours/273513-franck-riester-19022020-plateformes-en-ligne-vie-privee,Interview,Franck,Riester,2020-02-19T12:00:00Z,"SOCIÉTÉ
INSTITUTIONS",Ministre de la culture,273513
19,"Déclaration de M. Bruno Le Maire, ministre de l'économie et des finances, sur le nouveau contrat-type du permis de conduire, à Paris le 19 février 2020.",https://www.vie-publique.fr/discours/273532-bruno-le-maire-19022020-permis-de-conduire,Déclaration,Bruno,Le Maire,2020-02-19T12:00:00Z,INSTITUTIONS,Ministre de l'économie et des finances,273532
20,"Interview de Mme Élisabeth Borne, ministre de la transition écologique et solidaire, à RMC le 19 février 2020, sur la mise à l'arrêt de la centrale de Fessenheim, les stations de ski victimes du dérèglement climatique et les éoliennes.",https://www.vie-publique.fr/discours/273504-elisabeth-borne-19022020-centrale-fessenheim-neige-eoliennes,Interview,Elisabeth,Borne,2020-02-19T12:00:00Z,ECONOMIE,Ministre de la transition écologique et solidaire,273504
21,"Déclaration de Mme Amélie de Montchalin, secrétaire d'État aux affaires européennes, sur le budget européen et le Brexit, au Sénat le 19 février 2020.",https://www.vie-publique.fr/discours/273577-amelie-de-montchalin-19022020-union-europeenne,Déclaration,Amélie,de Montchalin,2020-02-19T12:00:00Z,INTERNATIONAL,Secrétaire d'État aux affaires européennes,273577
22,"Interview de M. Christophe Castaner, ministre de l'intérieur, à France Inter le 19 février 2020, sur la lutte contre le séparatisme islamiste.",https://www.vie-publique.fr/discours/273507-christophe-castaner-19022020-lutte-contre-le-separatisme-islamiste,Interview,Christophe,Castaner,2020-02-19T12:00:00Z,SOCIÉTÉ,Ministre de l'intérieur Alexandra Bensaïd,273507
